name	id	V1	V2
谢谢你的美好	26584652	2010	25
超人不会飞- (内地版)	185686	2010	2
黑框眼鏡	29812774	2015	56
嫁妆	27671259	2010	10
想自由	25638794	2011	17
想幸福的人	315971	2012	41
新地球	29774171	2015	50
暖男制造机	34586692	2015	60
暗藏后悔	22854028	2012	65
煎熬	25639010	2011	70
跟我玩	28727672	2014	39
跨时代	185666	2010	38
跳进来	28754101	2014	41
错的人	26127546	2010	8
像天堂的悬崖	28234434	2014	55
慢灵魂	25638963	2011	51
潇洒小姐	25648038	2010	60
福尔摩斯	22854040	2012	19
算什么男人	29818120	2015	8
舞极限	22854090	2012	49
舞法舞天	22854107	2010	26
鞋子特大号	29818117	2015	71
燃点	101358	2012	27
A YEAR WITHOUT RAIN	25639003	2011	68
A-CHA	25638759	2011	9
Action Go	29750103	2015	59
All The Lovers	22611201	2010	15
Animals	28987626	2014	69
Applause	27571440	2013	36
As Long As You Love Me	1518938	2012	33
Ayyy Girl	5380900	2010	24
Baby Boy	28747833	2014	34
Baby I Love U	2377878	2013	21
BAD BOY	5366195	2012	44
BAE BAE	31789299	2015	64
Bang Bang	28850212	2014	57
Best Song Ever	26902779	2013	39
Bittersweet	28249838	2014	80
Blurred Lines	26075485	2013	65
Born This Way	25638780	2011	13
Boyfriend	18637982	2012	17
Break Down	25706326	2013	31
Break Down	25639008	2011	69
Break It Down	28732140	2014	47
BREAK OUT!	22833015	2010	33
Burn It Down	4151845	2012	55
California Gurls (feat. Snoop Dogg)	18982017	2010	66
CALL ME BABY	31191712	2015	15
Call Me Maybe	17112288	2012	6
Can't Stop	28274058	2014	4
Catch Me	22644145	2012	48
Catch Me If You Can	31370498	2015	55
Checkmate	30148520	2015	5
Club Can't Handle Me (Feat. David Guetta)	17793592	2010	48
Come Back to me	26217172	2013	51
Dangerous	34586683	2015	10
DANTE	25643428	2012	7
Dear Snow	770049	2010	29
Devil	33190814	2015	9
Don't Stop	28497564	2014	18
Downtown Baby	29428322	2014	70
Dr. Jolin	209509	2012	20
Dream Girl	26090084	2013	5
Drunk In Love (feat. Jay Z)	28111063	2014	30
Dying For Love	27790701	2013	4
Electric Shock	22735485	2012	25
EMPTY	29357057	2014	66
Endless	25639079	2011	81
Endless Game	26418057	2013	15
Every Teardrop Is a Waterfall	25638994	2011	63
Everybody	27836877	2013	22
Everyday	25638869	2011	39
Everything Changes	28288653	2014	36
"EYES, NOSE, LIPS"	28953286	2014	68
Family～ひとつになること	25638796	2011	19
Fantastic	28798490	2014	46
Fantastic Baby (Japanese Version)	22673329	2012	10
Fiction	25638967	2011	52
