artist	name	id	year	rank	lang	nation
蔡健雅	单恋曲	27678881	2013	45	ch	ch
王心凌	变成陌生人(电视剧《爱情调色盘》片尾曲)	22854064	2012	43	ch	ch
Super Junior M	命运线	25638982	2011	56	ch	kr
吴汶芳	孤独的总和	30039638	2015	58	ch	ch
陈奕迅	孤独患者	25638887	2011	43	ch	ch
林俊杰	学不会	108134	2012	4	ch	ch
罗志祥	幸福特调	36924301	2015	48	ch	ch
李玉玺	放下,旅行	28912268	2014	74	ch	ch
周杰伦	明明就	25641369	2013	76	ch	ch
嵐	果てない空	770018	2010	46	jp	jp
蔡依林	玩爱之徒	25641754	2010	28	ch	ch
蛋堡	经典！	76833	2010	57	ch	ch
林依晨	花一开就相爱吧	255526	2010	56	ch	ch
蔡依林	诗人漫步	209524	2012	8	ch	ch
毕书尽	转身之后	63037	2010	31	ch	ch
田馥甄	还是要幸福	25638783	2011	14	ch	ch
韦礼安	还是爱着你	159938	2012	46	ch	ch
张惠妹	这样你还要爱我吗	28754098	2014	22	ch	ch
王心凌	陈淑芬与林志豪	28819686	2014	50	ch	ch
周杰伦	雨下一整晚	185672	2010	74	ch	ch
杨丞琳	雨爱	22740087	2010	68	ch	ch
陈势安	非你不可	27808496	2013	23	ch	ch
杨丞琳	勇敢很好	27598694	2013	52	ch	ch
庾澄庆	哈你歌	26145668	2013	6	ch	ch
罗志祥	拼什么	25638800	2011	22	ch	ch
白安	是什么让我遇见这样的你	25657410	2013	35	ch	ch
谢和弦	柳树下	25639047	2011	76	ch	ch
陈绮贞	流浪者之歌	28018273	2014	44	ch	ch
朱俐静	浓妆	29571118	2014	53	ch	ch
杨丞琳	点水	29764635	2015	35	ch	ch
罗志祥	独一无二Only you	25638742	2011	6	ch	ch
张芸京	相反的我	328029	2010	73	ch	ch
莫文蔚	看看	29129367	2014	64	ch	ch
郭采洁	给他	233877	2012	38	ch	ch
吴克羣	绝对不放	156095	2010	12	ch	ch
蔡依林	美人计	25641751	2010	1	ch	ch
王大文	美丽	28095074	2014	77	ch	ch
林俊杰	背对背拥抱	26305547	2010	69	ch	ch
吴克羣	胡闹	156067	2012	36	ch	ch
罗志祥	致命伤	36586644	2015	27	ch	ch
蔡健雅	说到爱	25638986	2011	57	ch	ch
SpeXial	贴身	34586691	2015	32	ch	ch
陈彦允	陌生的地方	34229919	2015	70	ch	ch
林俊杰	修炼爱情	25727803	2013	78	ch	ch
周杰伦	哪里都是你	25641374	2013	49	ch	ch
AKB48	恋するフォーチュンクッキー	27556313	2013	2	jp	jp
蔡依林	旅程	27713716	2013	67	ch	ch
王力宏	柴米油盐酱醋茶	25643271	2010	53	ch	ch
卢广仲	校园歌手	22853010	2012	67	ch	ch
萧亚轩	浪漫来袭	28953255	2014	14	ch	ch
郭采洁	烟火	233897	2010	16	ch	ch
梁静茹	爱久见人心	254037	2012	13	ch	ch
罗志祥	爱不单行	26082851	2010	41	ch	ch
萧亚轩	爱不离手	306847	2012	18	ch	ch
谢和弦	爱不需要装乖	32737598	2015	81	ch	ch
王心凌	爱太空	25638998	2011	66	ch	ch
罗志祥	爱投罗网	27867095	2013	74	ch	ch
罗志祥	爱的主场秀	26082846	2010	75	ch	ch
曲婉婷	爱的海洋	27713714	2013	41	ch	ch
张芸京	爱情选项	328032	2010	54	ch	ch
方大同	特别的人	28403111	2014	71	ch	ch
EXO	狼与美女(Wolf)	26428031	2013	34	ch	kr
福山雅治	破晓	28642420	2014	75	ch	jp
庾澄庆	缺口	28773083	2014	26	ch	ch
李玟	能不能	26420166	2013	16	ch	ch
张悬	艳火	326703	2012	62	ch	ch
SpeXial	迷失in U	30830306	2015	72	ch	ch
嵐	迷宫ラブソング	25638990	2011	61	jp	jp
