"uid","Employer","JobLocation","RankorTitle","Specialty","Deadline","DatePosted","ApplicationStatus","OpenUntilFilled","JobSubLocation","lon","lat"
33,"The Hong Kong University of Science and Technology","Hong Kong","Director of Center for Language Education","Applied Linguistics;Language Acquisition",2016-01-10,2015-11-27,TRUE,TRUE,"Hong Kong",114.2715461,22.2917485
34,"LABEX Empirical Foundations of Linguistics (EFL), Paris","France","Post Doc ","Computational Linguistics;Semantics",2015-12-31,2015-11-26,TRUE,FALSE,"Paris Region - Villetanneuse",2.3522219,48.856614
35,"The Hong Kong Institute of Education","Hong Kong","Assistant Professor ","Translation",NA,2015-11-26,TRUE,TRUE,"New Territories",114.193704,22.466416
36,"University of Brighton","United Kingdom","Lecturer ","Pragmatics;Semantics",2015-12-11,2015-11-25,TRUE,FALSE,"Brighton, East Sussex",-0.1349366,50.8241295
37,"University of Brighton","United Kingdom","Lecturer ","Discourse Analysis;Sociolinguistics",2015-12-11,2015-11-25,TRUE,FALSE,"Brighton, East Sussex",-0.1349366,50.8241295
38,"University of North Carolina at Pembroke","USA","Asst/Assoc Professor ","Applied Linguistics;Language Acquisition;English",2016-01-03,2015-11-25,TRUE,TRUE,"North Carolina",-77.0650724,35.0980372
39,"University of Agder","Norway","Full Professor ","General Linguistics;English",2015-12-20,2015-11-24,TRUE,FALSE,"Kristiansand",14.5608322,67.2889874
40,"University of British Columbia","Canada","Post Doc ","Applied Linguistics;Phonetics;Phonology;Language Acquisition ",2015-12-04,2015-11-24,FALSE,FALSE,"Vancouver",-79.427313,43.631679
41,"University of California, Santa Barbara","USA","Associate Professor ","General Linguistics",2016-01-15,2015-11-23,TRUE,TRUE,"California",-117.8082831,33.6858022
42,"University of California, Santa Barbara","USA","Professor ","General Linguistics",2016-01-15,2015-11-23,TRUE,TRUE,"California",-117.8082831,33.6858022
43,"Copernicus Gesellschaft mbH","Germany","English speaker for language copy-editing","General Linguistics;Syntax;English",2016-03-31,2015-11-20,TRUE,TRUE,"Goettingen",9.9158035,51.5412804
44,"University of Florida","USA","Lecturer ","Applied Linguistics;Language Acquisition;Japanese",2016-01-15,2015-11-20,TRUE,TRUE,"Florida",-82.4593395,28.0665864
45,"University at Albany","USA","Assistant Professor ","Applied Linguistics;Language Acquisition",NA,2015-11-19,TRUE,TRUE,"New York",-73.8194923,42.6882695
46,"Nanyang Technological University, Singapore","Singapore","Post Doc ","Discourse Analysis;General Linguistics;Sociolinguistics;Translation ",2016-01-15,2015-11-19,TRUE,FALSE,"Singapore",103.8677444,1.3553794
47,"University of Arizona","USA","Assistant Professor ","Computational Linguistics;Psycholinguistics;Neurolinguistics;Cognitive Science; Language Acquisition",2015-12-10,2015-11-19,TRUE,TRUE,"Arizona",-82.4530718,28.067177
48,"University of California, Los Angeles","USA","Rank Open ","Computational Linguistics;Semantics;Syntax",2016-01-01,2015-11-19,TRUE,FALSE,"California",-118.2534733,34.0533937
49,"University of California, Los Angeles","USA","Staff Research Associate II","Language Acquisition",2015-12-15,2015-11-18,TRUE,FALSE,"California",-118.2534733,34.0533937
50,"Lionbridge","China","Search Analyst: Chinese Simplified and Traditional","General Linguistics;Chinese, Mandarin",2015-12-13,2015-11-17,TRUE,FALSE,"Shanghai",121.473701,31.230416
